Lagia Bluebolt (P)	Meteora	Vortastrophe (G)	ダミー	Megavolt Axe (P)	ダミー
Lagia Bluebolt (G)	Carapace Mace	Plume Flint	ダミー	Megavolt Axe (G)	ダミー
High Lagia Blade	Carapace Mace+	Peco Flint	ダミー	High Bolt Axe	ダミー
ダミー	Barroth Club	Red Bludgeon	ダミー	ダミー	Amphitrite (P)
ダミー	Gigas Club	Red Bludgeon+	"Barbrian ""Sharq"" (P)"	ダミー	ダミー
ダミー	Gigas Crusher	ダミー	Orochi Sword	ダミー	Tusk Lance
ダミー	Bone Kris	ダミー	Guan Dao	ダミー	Tusk Lance+
Lagia Wildfire (P)	Bone Kris+	ダミー	ダミー	Thunderstrike (P)	ダミー
ダミー	Ludroth's Nail	ダミー	ダミー	Thunderstrike (G)	ダミー
Ludroth Bone Sword	Royal Claw	Huracan Hammer (P)	ダミー	Amber Slash	ダミー
Ludroth Bone Sword+	Royal Claw+	ダミー	ダミー	Amber Slash+	ダミー
Cataclysm Sword	Royal Ludroth Claw	Numbingbird	Yan Yue Dao (P)	Amber Hoarfrost	ダミー
Cataclysm Blade	Sea Striker	Paralykeet	Yan Yue Dao (G)	Inceadeus	Sabertooth (G)
Viking Hornsword	Abyssal Striker	Alluring Lotus	"Reaver ""Cruelty"""	Inceadeus+	Gobulu Muruka
Ancharius Sword	Blood Tabar	Bone Hammer	"Reaver ""Calamity"""	Great Inceadeus	Gobulu Muruka+
Red Wing	Plague Tabar	Bone Hammer+	Dark Claw	Demonbind	Gobuluku Muraaka
Rathalos Firesword	Bone Tomahawk	Ludroth Bone Mace	"Dark Claw ""Demise"""	ダミー	Bone Lance
Rathalos Flamesword	Qurupeco Chopper	Ludroth Bone Maul	Tenebra	ダミー	Bone Lance+
Bone Blade	Djinn	Ludroth Splashhammer	Tenebra D	ダミー	Ploshasta
Bone Blade+	Blazing Falchion	Vodyanoy Hammer	Rising Soul	Ironblood Axe	Rhenohasta
Jawblade	Lagia Sword	"Fang Hammer ""Echo"""		Great Demonbind (P)	Azure Crest
Giant Jawblade	ダミー	"Fang Hammer ""Ruin"""		Great Demonbind (G)	Azure Crest+
Wyvern Jawblade	Storm Sword (R)	Jhen Mohran Hammer		Rough Edge	Great Azure
Golem Blade	ダミー	Carapace Hammer		ダミー	Rugged Lance
Golem Blade+	Storm Sword (Y)	Carapace Hammer+		Tough Break (R)	Rugged Lance+
Blade of Talos	Maelstrom Sword (P)	Barroth Hammer		Tough Break (B)	Diablos Lance
Valkyrie Blade	Maelstrom Sword (G)	Brazenclout		Tough Break (Y)	Diablos Spear
Sieglinde	High Lagia Sword	Crimsonclout		ダミー	Spiral Heat
ダミー	ダミー	Gigas Hammer		ダミー	Agnaktor Firelance
ダミー	ダミー	Bone Bludgeon		ダミー	Ludroth Bone Spear
ダミー	ダミー	Bone Bludgeon+		ダミー	Spiral Lance
Dread Ignition	ダミー	Rusted Hammer		ダミー	Spiral Lance+
High Sieglinde (P)	ダミー	Tarnished Hammer		ダミー	ダミー
High Sieglinde (G)	Takemikazuchi (G)	Breath Core Hammer		Soulbreaker (P)	ダミー
Siegmund	Rusted Sword	Lava Core Hammer		Soulbreaker (G)	Spiral Splash (B)
High Siegmund	Tarnished Sword	Worn Hammer		Dark Switch Axe	ダミー
Quarrel Hornsword	Eternal Strife	Weathered Hammer		Black Harvest	ダミー
Diablos Hornsword	Eternal Hate	Pulsating Core		Sinister Saints	Spiral Splash (G)
Rusted Great Sword	Worn Sword	Gaiasp			Shadow Javelin
Tarnished Great Swd	Weathered Sword	ダミー			Toxic Javelin
Ancient Blade	Divine Exodus	Gaiarch (R)			Rusted Lance
Elder Monument	Tusk Gear	Gaiarch (B)			Tarnished Lance
Worn Great Sword	ダミー	Gaiarch (Y)			Undertaker
Weathered Grt Sword	Fossil Gear (R)	ダミー			High Undertaker
Epitaph Blade	Fossil Gear (B)	ダミー			Worn Spear
Vulcanis	Fossil Gear (Y)	ダミー			Weathered Spear
ダミー	ダミー	ダミー			Skyscraper
Vulcanvil (R)	ダミー	ダミー			Blue Crater
Vulcanvil (B)	ダミー	ダミー			ダミー
Vulcanvil (Y)	ダミー	Great Gaiarch (P)			Smalt Crater (R)
ダミー	ダミー	Great Gaiarch (G)			Smalt Crater (B)
ダミー	ダミー	Devil's Due			Smalt Crater (Y)
ダミー	Skull's Wrath (P)	ダミー			ダミー
ダミー	Skull's Wrath (G)	ダミー			ダミー
ダミー	Chak Chak	ダミー			ダミー
ダミー	Chak Chak+	Devil's Advocate			ダミー
Vulcamagnon (P)	Wagga Wagga	Devil's Crush (P)			ダミー
Vulcamagnon (G)	Jhen Kodachi	Devil's Crush (G)			ダミー
Berserker Sword	ダミー	Alatreon Hammer			Doom Crown (P)
ダミー	ダミー	Alatreon Metamorph			Doom Crown (G)
ダミー	ダミー	Kurogane			Grief Lance
ダミー	ダミー	Iron Devil			ダミー
ダミー	Calm Sands (P)				ダミー
Anguish (P)	Calm Sands (G)				ダミー
Anguish (G)	Alatreon Sword				ダミー
Alatreon Great Sword	Alatreon Star				Fiendish Tower (P)
Alatreon Revolution	Warrior's Sword				Fiendish Tower (G)
Proto Razor	Odyssey				Alatreon Lance
Chrome Razor					Alatreon Gleam
Lion's Bane					Warrior's Lance
					Millennium
					Sharq Attaq
					ML001: Baltzenger
					"Banderlance ""Byakko"""
