Tunique Lagiacrus	Avant-bras Barioth	Tassettes Lagiacrus	Cuissardes Lagiacrus	Casque Barioth	
Cotte Rathalos	Gardes Barioth	Taille Lagiacrus	Grèves Rathalos	Heaume Barioth	
Tunique Rathalos	Avant-bras Diablos	Tassettes Rathalos	Cuissardes Rathalos	Casque Diablos	
Cotte Barioth	Gardes Diablos	Taille Rathalos	Grèves Barioth	Heaume Diablos	
Tunique Barioth	Avant-bras Uragaan	Tassettes Barioth	Cuissardes Barioth	Casque Uragaan	
Cotte Diablos	Gardes Uragaan	Taille Barioth	Grèves Uragaan	Heaume Uragaan	
Tunique Diablos	Avant-bras Agnaktor	Tassettes Uragaan	Cuissardes Uragaan	Casque Agnaktor	
Cotte Uragaan	Gardes Agnaktor	Taille Uragaan	Grèves Agnaktor	Heaume Agnaktor	
Tunique Uragaan	Avt-bras Helios	Tassettes Agnaktor	Cuissardes Agnaktor	Casque Helios	
Cotte Agnaktor	Gardes Helios	Taille Agnaktor	Grèves Helios	Heaume Helios	
Tunique Agnaktor	Avt-bras Selene	Ceinturon Helios	Cuissardes Helios	Casque Selene	
Cotte Helios	Gardes Selene	Taille Helios	Grèves Selene	Heaume Selene	
Tunique Helios	Yamato Kote	Ceinturon Selene	Cuissardes Selene	Yamato Kabuto	
Cotte Selene	Mutsu Kote	Taille Selene	Yamato Gusoku	Mutsu Eboshi	
Tunique Selene	Hinata Kote	Yamato Koshiate	Mutsu Gusoku	Hinata Hachigane	
Yamato Muneate	Amagi Kote	Mutsu Koshiate	Hinata Hakama	Amagi Hachigane	
Mutsu Muneate	Avant-bras en cuir +	Hinata Koshiate	Amagi Hakama	Casque en cuir +	
Hinata Muneate	Gardes en cuir +	Amagi Koshiate	Grèves en cuir +	Calot en cuir +	
Amagi Muneate	Avt-bras en maille +	Tassettes en cuir +	Leggins en cuir +	Masque de nageur +	
Cotte en cuir +	Gardes en maille +	Taille en cuir +	Leggins de nageur +	Tuba de nageur +	
Tunique en cuir +	Av-bras de chasseur+	Ceinture de nageur +	Pantalon de nageur +	Casque en maille +	
Cotte de mailles +	Gardes de chasseur +	Réservoir de nageur+	Grèves en maille +	Calot en maille +	
Tunique en maille +	Avant-bras d'os +	Tasset. en maille +	Leggins en maille +	Casque de chasseur +	
Foulard de Loc Lac +	Gardes d'os +	Taille en maille +	Bottes de Loc Lac +	Calot de chasseur +	
Tunique de Loc Lac +	Av-bras en alliage +	Kilt de Loc Lac +	Guêtres de Loc Lac +	Casque d'os +	
Cotte de chasseur +	Gardes en alliage +	Taille de Loc Lac +	Grèves de chasseur +	Calot d'os +	
Tunique de chasseur+	Avant-bras Jaggi +	Tass. de chasseur +	Leggins de chasseur+	Casque en alliage +	
Cotte d'os +	Gardes Jaggi +	Taille de chasseur +	Grèves d'os +	Calot en alliage +	
Tunique d'os +	Avt-bras Rhenoplos +	Tassettes d'os +	Leggins d'os +	Casque Jaggi +	
Cotte en alliage +	Gardes Rhenoplos +	Taille d'os +	Grèves en alliage +	Calot Jaggi +	
Tunique en alliage +	Avt-bras Qurupeco +	Tasset. en alliage +	Leggins en alliage +	Casque Rhenoplos +	
Cotte Jaggi +	Gardes Qurupeco +	Taille en alliage +	Grèves Jaggi +	Calot Rhenoplos +	
Tunique Jaggi +	Avant-bras Ludroth +	Tassettes Jaggi +	Leggins Jaggi +	Casque Qurupeco +	
Cotte Bnahabra +	Gardes Ludroth +	Taille Jaggi +	Grèves Bnahabra +	Calot Qurupeco +	
Tunique Bnahabra +	Avant-bras d'acier +	Tassettes Bnahabra +	Leggins Bnahabra +	Casque Ludroth +	
Cotte Rhenoplos +	Avant-bras Baggi +	Taille Bnahabra +	Grèves Rhenoplos +	Calot Ludroth +	
Tunique Rhenoplos +	Gardes Baggi +	Ceinturon Rhenoplos+	Leggins Rhenoplos +	Casque Baggi +	
Cotte Qurupeco +	Avant-bras Barroth +	Taille Rhenoplos +	Grèves Qurupeco +	Calot Baggi +	
Tunique Qurupeco +	Gardes Barroth +	Ceinturon Qurupeco +	Leggins Qurupeco +	Casque Barroth +	
Cotte Ludroth +	Avant-bras Gobul +	Taille Qurupeco +	Grèves Ludroth +	Calot Barroth +	
Tunique Ludroth +	Gardes Gobul +	Tassettes Ludroth +	Leggins Ludroth +	Casque Gobul +	
Cotte d'acier +	Avt-bras de barde +	Taille Ludroth +	Grèves Baggi +	Calot Gobul +	
Cotte Baggi +	Manches de barde +	Ceinturon d'acier +	Leggins Baggi +	Lobos de barde +	
Tunique Baggi +	Gants de clerc +	Ceinturon Baggi +	Grèves Barroth +	Chapeau de barde +	
Cotte Barroth +	Manches de clerc +	Taille Baggi +	Leggins Barroth +	Béret de clerc +	
Tunique Barroth +	Avant-bras Rathian +	Tassettes Barroth +	Grèves Gobul +	Calot de clerc +	
Cotte Gobul +	Gardes Rathian +	Taille Barroth +	Leggins Gobul +	Casque Rathian +	
Tunique Gobul +	Avt-bras Gigginox +	Tassettes Gobul +	Bottes de barde +	Calot Rathian +	
Boléro de barde +	Gardes Gigginox +	Taille Gobul +	Guêtres de barde +	Casque Gigginox +	
Tunique de barde +	Avt-bras en lingot +	Ceinturon de barde +	Chausset. de clerc +	Calot Gigginox +	
Blouse de clerc +	Gardes en lingot +	Taille de barde +	Sandales de clerc +	Casque en lingot +	
Tunique de clerc +	Avant-bras Dober	Jupe de clerc +	Grèves Rathian +	Calot en lingot +	
Cotte Rathian +	Gardes Dober	Minijupe de clerc +	Leggins Rathian  +	Casque Dober	
Tunique Rathian +	Avt-bras Lagiacrus +	Tassettes Rathian +	Grèves Gigginox +	Heaume Dober	
Cotte Gigginox +	Gardes Lagiacrus +	Taille Rathian +	Leggins Gigginox +	Casque Lagiacrus +	
Tunique Gigginox +	Avant-bras Rathalos+	Tasset. Gigginox +	Grèves en lingot +	Calot Lagiacrus +	
Cotte en lingot +	Gardes Rathalos +	Taille Gigginox +	Leggins en lingot +	Casque Rathalos +	
Tunique en lingot +	Avant-bras Barioth +	Ceinturon en lingot+	Grèves Dober	Calot Rathalos +	
Cotte Dober	Gardes Barioth +	Taille en lingot +	Cuissardes Dober	Casque Barioth +	
Tunique Dober	Avant-bras Diablo +	Ceinturon Dober	Grèves Lagiacrus +	Calot Barioth +	
Cotte Lagiacrus +	Gardes Diablo +	Taille Dober	Leggins Lagiacrus +	Casque Diablo +	
Tunique Lagiacrus +	Avant-bras Uragaan +	Tassettes Lagiacrus+	Grèves Rathalos +	Calot Diablo +	
Cotte Rathalos +	Gardes Uragaan +	Taille Lagiacrus +	Leggins Rathalos +	Casque Uragaan +	
Tunique Rathalos +	Avant-bras Agnaktor+	Tassettes Rathalos +	Grèves Barioth +	Calot Uragaan +	
Cotte Barioth +	Gardes Agnaktor +	Taille Rathalos +	Leggins Barioth +	Casque Agnaktor +	
Tunique Barioth +	Avant-bras Vangis	Tassettes Barioth +	Grèves Uragaan +	Calot Agnaktor +	
Cotte Diablo +	Gardes Vangis	Taille Barioth +	Leggins Uragaan +	Casque Vangis	
Tunique Diablo +	Avant-bras Damascus	Tassettes Uragaan +	Grèves Agnaktor +	Heaume Vangis	
Cotte Uragaan +	Gardes Damascus	Taille Uragaan +	Leggins Agnkator +	Casque Damascus	
Tunique Uragaan +	Avant-bras Helios +	Tassettes Agnaktor +	Grèves Vangis	Heaume Damascus	
Cotte Agnaktor +	Gardes Helios +	Taille Agnaktor +	Cuissardes Vangis	Casque Helios +	
Tunique Agnkator +	Avant-bras Selene +	Ceinturon Vangis	Grèves Damascus	Calot Helios +	
Cotte Vangis	Gardes Selene +	Taille Vangis	Cuissardes Damascus	Casque Selene +	
Tunique Vangis	Yamato Kote +	Ceinturon Damascus	Grèves Helios +	Calot Selene +	
Cotte Damascus	Mutsu Kote +	Taille Damascus	Leggins Helios +	Yamato Kabuto +	
Tunique Damascus	Hinata Kote +	Ceinturon Helios +	Grèves Selene +	Mutsu Eboshi +	
Cotte Helios +	Amagi Kote +	Taille Helios +	Leggins Selene +	Hinata Hachigane +	
Tunique Helios +	Escadora Arms	Ceinturon Selene +	Yamato Gusoku +	Amagi Hachigane +	
Cotte Selene +	Escadora Arma	Taille Selene +	Mutsu Gusoku +	Escadora Wisdom	
Tunique Selene +	Bracelet Chakra	Yamato Koshiate +	Hinata Hakama +	Sagesse Escadora	
Yamato Muneate +	Bracelet pileur	Mutsu Koshiate +	Amagi Hakama +	Piercing Chakra	
Mutsu Muneate +	Bracelet usine	Hinata Koshiate +	Escadora Scale	Tête de mort	
Hinata Muneate +	Bracelet amont	Amagi Koshiate +	Écaille Escadora	Masque Jaggi	
Amagi Muneate +	Bracelet explosion	Escadora Might	Cheville Chakra	Cache-œil roi Wyvern	
Escadora Soul	Bracelet vitalité	Force Escadora	Pantalon cuir noir	Pare-soleil	
Âme Escadora		Tassettes Chakra		Piercing explosion	
Collier Chakra				Piercing de passion	
Gilet de l'enfer				Piercing Œil faucon	
Cuir de l'enfer				Piercing grâce	
Gilet de l'âme				Piercing fine lame	
Cuir de l'âme				Piercing barrage	
				Piercing dégaine	
				Piercing silence	
				Piercing saut	
				Piercing charge	
				Piercing sprint	
				Pierc. fil du démon	
				Piercing vorace	
				Piercing Kirin	
				Piercing stimulus	
				Piercing du destin	
